Existing Single-Family Home Sales,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
"Annual and monthly, 1989 to current",,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rate),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,Month over Month % Change,,,,
2012.08,"4,210,000","500,000","1,000,000","1,680,000","1,030,000",,8.5%,11.1%,12.4%,12.0%,-1.0%,,4.7%,2.0%,2.0%,7.0%,5.1%
2012.09,"4,150,000","480,000","1,020,000","1,640,000","1,010,000",,8.1%,4.3%,15.9%,10.1%,0.0%,,-1.4%,-4.0%,2.0%,-2.4%,-1.9%
2012.10,"4,230,000","500,000","1,030,000","1,660,000","1,040,000",,9.3%,13.6%,15.7%,8.5%,3.0%,,1.9%,4.2%,1.0%,1.2%,3.0%
2012.11,"4,360,000","500,000","1,070,000","1,720,000","1,070,000",,10.9%,6.4%,18.9%,12.4%,3.9%,,3.1%,0.0%,3.9%,3.6%,2.9%
2012.12,"4,320,000","510,000","1,050,000","1,680,000","1,080,000",,11.6%,8.5%,15.4%,12.8%,8.0%,,-0.9%,2.0%,-1.9%,-2.3%,0.9%
2013.01,"4,420,000","530,000","1,100,000","1,720,000","1,070,000",,11.3%,15.2%,18.3%,14.7%,-0.9%,,2.3%,3.9%,4.8%,2.4%,-0.9%
2013.02,"4,440,000","540,000","1,110,000","1,720,000","1,070,000",,9.1%,10.2%,13.3%,11.0%,1.9%,,0.5%,1.9%,0.9%,0.0%,0.0%
2013.03,"4,460,000","540,000","1,110,000","1,750,000","1,060,000",,10.9%,8.0%,15.6%,13.6%,3.9%,,0.5%,0.0%,0.0%,1.7%,-0.9%
2013.04,"4,500,000","540,000","1,110,000","1,780,000","1,070,000",,10.3%,5.9%,12.1%,14.8%,3.9%,,0.9%,0.0%,0.0%,1.7%,0.9%
2013.05,"4,550,000","520,000","1,140,000","1,800,000","1,090,000",,11.2%,4.0%,15.2%,13.9%,6.9%,,1.1%,-3.7%,2.7%,1.1%,1.9%
2013.06,"4,510,000","540,000","1,120,000","1,780,000","1,070,000",,13.3%,14.9%,14.3%,14.8%,9.2%,,-0.9%,3.8%,-1.8%,-1.1%,-1.8%
2013.07,"4,640,000","580,000","1,170,000","1,800,000","1,090,000",,15.4%,18.4%,19.4%,14.6%,11.2%,,2.9%,7.4%,4.5%,1.1%,1.9%
2013.08,"4,620,000","570,000","1,160,000","1,830,000","1,060,000",,9.7%,14.0%,16.0%,8.9%,2.9%,,-0.4%,-1.7%,-0.9%,1.7%,-2.8%
2013.09,"4,530,000","550,000","1,120,000","1,800,000","1,060,000",,9.2%,14.6%,9.8%,9.8%,5.0%,,-1.9%,-3.5%,-3.4%,-1.6%,0.0%
2013.10,"4,420,000","530,000","1,090,000","1,770,000","1,030,000",,4.5%,6.0%,5.8%,6.6%,-1.0%,,-2.4%,-3.6%,-2.7%,-1.7%,-2.8%
2013.11,"4,320,000","530,000","1,090,000","1,730,000","970,000",,-0.9%,6.0%,1.9%,0.6%,-9.3%,,-2.3%,0.0%,0.0%,-2.3%,-5.8%
2013.12,"4,290,000","520,000","1,070,000","1,750,000","950,000",,-0.7%,2.0%,1.9%,4.2%,-12.0%,,-0.7%,-1.9%,-1.8%,1.2%,-2.1%
2014.01,"4,170,000","520,000","1,010,000","1,710,000","930,000",,-5.7%,-1.9%,-8.2%,-0.6%,-13.1%,,-2.8%,0.0%,-5.6%,-2.3%,-2.1%
2014.02,"4,190,000","490,000","1,010,000","1,730,000","960,000",,-5.6%,-9.3%,-9.0%,0.6%,-10.3%,,0.5%,-5.8%,0.0%,1.2%,3.2%
2014.03,"4,180,000","510,000","1,020,000","1,710,000","940,000",,-6.3%,-5.6%,-8.1%,-2.3%,-11.3%,,-0.2%,4.1%,1.0%,-1.2%,-2.1%
2014.04,"4,200,000","510,000","1,010,000","1,720,000","960,000",,-6.7%,-5.6%,-9.0%,-3.4%,-10.3%,,0.5%,0.0%,-1.0%,0.6%,2.1%
2014.05,"4,310,000","510,000","1,060,000","1,780,000","960,000",,-5.3%,-1.9%,-7.0%,-1.1%,-11.9%,,2.6%,0.0%,5.0%,3.5%,0.0%
2014.06,"4,350,000","530,000","1,070,000","1,780,000","970,000",,-3.5%,-1.9%,-4.5%,0.0%,-9.3%,,0.9%,3.9%,0.9%,0.0%,1.0%
2014.07,"4,390,000","530,000","1,090,000","1,810,000","960,000",,-5.4%,-8.6%,-6.8%,0.6%,-11.9%,,0.9%,0.0%,1.9%,1.7%,-1.0%
2014.08,"4,400,000","550,000","1,100,000","1,780,000","970,000",,-4.8%,-3.5%,-5.2%,-2.7%,-8.5%,,0.2%,3.8%,0.9%,-1.7%,1.0%
2014.09,"4,410,000","550,000","1,070,000","1,810,000","980,000",,-2.6%,0.0%,-4.5%,0.6%,-7.5%,,0.2%,0.0%,-2.7%,1.7%,1.0%
2014.10,"4,500,000","550,000","1,100,000","1,870,000","980,000",,1.8%,3.8%,0.9%,5.6%,-4.9%,,2.0%,0.0%,2.8%,3.3%,0.0%
2014.11,"4,390,000","560,000","1,070,000","1,840,000","920,000",,1.6%,5.7%,-1.8%,6.4%,-5.2%,,-2.4%,1.8%,-2.7%,-1.6%,-6.1%
2014.12,"4,500,000","540,000","1,070,000","1,890,000","1,000,000",,4.9%,3.8%,0.0%,8.0%,5.3%,,2.5%,-3.6%,0.0%,2.7%,8.7%
2015.01,"4,360,000","520,000","1,040,000","1,850,000","950,000",,4.6%,0.0%,3.0%,8.2%,2.2%,,-3.1%,-3.7%,-2.8%,-2.1%,-5.0%
2015.02,"4,500,000","540,000","1,090,000","1,860,000","1,010,000",,7.4%,10.2%,7.9%,7.5%,5.2%,,3.2%,3.8%,4.8%,0.5%,6.3%
2015.03,"4,630,000","550,000","1,160,000","1,890,000","1,030,000",,10.8%,7.8%,13.7%,10.5%,9.6%,,2.9%,1.9%,6.4%,1.6%,2.0%
2015.04,"4,570,000","540,000","1,150,000","1,840,000","1,040,000",,8.8%,5.9%,13.9%,7.0%,8.3%,,-1.3%,-1.8%,-0.9%,-2.6%,1.0%
2015.05,"4,650,000","570,000","1,180,000","1,860,000","1,040,000",,7.9%,11.8%,11.3%,4.5%,8.3%,,1.8%,5.6%,2.6%,1.1%,0.0%
2015.06,"4,730,000","580,000","1,190,000","1,910,000","1,050,000",,8.7%,9.4%,11.2%,7.3%,8.2%,,1.7%,1.8%,0.8%,2.7%,1.0%
2015.07,"4,810,000","590,000","1,200,000","1,960,000","1,060,000",,9.6%,11.3%,10.1%,8.3%,10.4%,,1.7%,1.7%,0.8%,2.6%,1.0%
2015.08,"4,740,000","590,000","1,190,000","1,920,000","1,040,000",,7.7%,7.3%,8.2%,7.9%,7.2%,,-1.5%,0.0%,-0.8%,-2.0%,-1.9%
2015.09,"4,800,000","610,000","1,200,000","1,940,000","1,050,000",,8.8%,10.9%,12.1%,7.2%,7.1%,,1.3%,3.4%,0.8%,1.0%,1.0%
2015.10,"4,680,000","600,000","1,190,000","1,890,000","1,000,000",,4.0%,9.1%,8.2%,1.1%,2.0%,,-2.5%,-1.6%,-0.8%,-2.6%,-4.8%
2015.11,"4,200,000","560,000","1,040,000","1,730,000","870,000",,-4.3%,0.0%,-2.8%,-6.0%,-5.4%,,-10.3%,-6.7%,-12.6%,-8.5%,-13.0%
2015.12,"4,810,000","610,000","1,190,000","1,930,000","1,080,000",,6.9%,13.0%,11.2%,2.1%,8.0%,,14.5%,8.9%,14.4%,11.6%,24.1%
2016.01,"4,820,000","610,000","1,230,000","1,960,000","1,020,000",,10.6%,17.3%,18.3%,5.9%,7.4%,,0.2%,0.0%,3.4%,1.6%,-5.6%
2016.02,"4,660,000","600,000","1,140,000","1,920,000","1,000,000",,3.6%,11.1%,4.6%,3.2%,-1.0%,,-3.3%,-1.6%,-7.3%,-2.0%,-2.0%
2016.03,"4,730,000","610,000","1,190,000","1,920,000","1,010,000",,2.2%,10.9%,2.6%,1.6%,-1.9%,,1.5%,1.7%,4.4%,0.0%,1.0%
2016.04,"4,860,000","650,000","1,260,000","1,940,000","1,010,000",,6.3%,20.4%,9.6%,5.4%,-2.9%,,2.7%,6.6%,5.9%,1.0%,0.0%
2016.05,"4,820,000","630,000","1,220,000","1,950,000","1,020,000",,3.7%,10.5%,3.4%,4.8%,-1.9%,,-0.8%,-3.1%,-3.2%,0.5%,1.0%
2016.06,"4,850,000","620,000","1,230,000","1,960,000","1,040,000",,2.5%,6.9%,3.4%,2.6%,-1.0%,,0.6%,-1.6%,0.8%,0.5%,2.0%
2016.07,"4,770,000","580,000","1,210,000","1,940,000","1,040,000",,-0.8%,-1.7%,0.8%,-1.0%,-1.9%,,-1.6%,-6.5%,-1.6%,-1.0%,0.0%
2016.08,"4,780,000","600,000","1,200,000","1,940,000","1,040,000",,0.8%,1.7%,0.8%,1.0%,0.0%,,0.2%,3.4%,-0.8%,0.0%,0.0%
2016.09,"4,850,000","610,000","1,230,000","1,940,000","1,070,000",,1.0%,0.0%,2.5%,0.0%,1.9%,,1.5%,1.7%,2.5%,0.0%,2.9%
2016.10,"4,940,000","620,000","1,250,000","1,990,000","1,080,000",,5.6%,3.3%,5.0%,5.3%,8.0%,,1.9%,1.6%,1.6%,2.6%,0.9%
2016.11,"4,880,000","620,000","1,220,000","1,970,000","1,070,000",,16.2%,10.7%,17.3%,13.9%,23.0%,,-1.2%,0.0%,-2.4%,-1.0%,-0.9%
2016.12,"4,900,000","630,000","1,220,000","1,980,000","1,070,000",,1.9%,3.3%,2.5%,2.6%,-0.9%,,0.4%,1.6%,0.0%,0.5%,0.0%
2017.01,"5,040,000","650,000","1,260,000","2,040,000","1,090,000",,4.6%,6.6%,2.4%,4.1%,6.9%,,2.9%,3.2%,3.3%,3.0%,1.9%
2017.02,"4,840,000","610,000","1,150,000","2,020,000","1,060,000",,3.9%,1.7%,0.9%,5.2%,6.0%,,-4.0%,-6.2%,-8.7%,-1.0%,-2.8%
2017.03,"4,980,000","630,000","1,230,000","2,050,000","1,070,000",,5.3%,3.3%,3.4%,6.8%,5.9%,,2.9%,3.3%,7.0%,1.5%,0.9%
2017.04,"4,940,000","640,000","1,250,000","2,010,000","1,040,000",,1.6%,-1.5%,-0.8%,3.6%,3.0%,,-0.8%,1.6%,1.6%,-2.0%,-2.8%
2017.05,"4,950,000","650,000","1,220,000","2,020,000","1,060,000",,2.7%,3.2%,0.0%,3.6%,3.9%,,0.2%,1.6%,-2.4%,0.5%,1.9%
2017.06,"4,870,000","620,000","1,230,000","1,960,000","1,060,000",,0.4%,0.0%,0.0%,0.0%,1.9%,,-1.6%,-4.6%,0.8%,-3.0%,0.0%
2017.07,"4,850,000","590,000","1,210,000","1,990,000","1,060,000",,1.7%,1.7%,0.0%,2.6%,1.9%,,-0.4%,-4.8%,-1.6%,1.5%,0.0%
2017.08,"4,770,000","600,000","1,200,000","1,920,000","1,050,000",,-0.2%,0.0%,0.0%,-1.0%,1.0%,,-1.6%,1.7%,-0.8%,-3.5%,-0.9%
2017.09,"4,840,000","610,000","1,210,000","1,940,000","1,080,000",,-0.2%,0.0%,-1.6%,0.0%,0.9%,,1.5%,1.7%,0.8%,1.0%,2.9%
2017.10,"4,840,000","610,000","1,220,000","1,930,000","1,080,000",,-2.0%,-1.6%,-2.4%,-3.0%,0.0%,,0.0%,0.0%,0.8%,-0.5%,0.0%
2017.11,"4,980,000","610,000","1,250,000","2,040,000","1,080,000",,2.0%,-1.6%,2.5%,3.6%,0.9%,,2.9%,0.0%,2.5%,5.7%,0.0%
2017.12,"4,950,000","600,000","1,230,000","2,040,000","1,080,000",,1.0%,-4.8%,0.8%,3.0%,0.9%,,-0.6%,-1.6%,-1.6%,0.0%,0.0%
2018.01,"4,800,000","580,000","1,200,000","2,020,000","1,000,000",,-4.8%,-10.8%,-4.8%,-1.0%,-8.3%,,-3.0%,-3.3%,-2.4%,-1.0%,-7.4%
2018.02,"4,880,000","550,000","1,120,000","2,110,000","1,100,000",,0.8%,-9.8%,-2.6%,4.5%,3.8%,,1.7%,-5.2%,-6.7%,4.5%,10.0%
2018.03,"4,910,000","580,000","1,210,000","2,050,000","1,070,000",,-1.4%,-7.9%,-1.6%,0.0%,0.0%,,0.6%,5.5%,8.0%,-2.8%,-2.7%
2018.04,"4,840,000","570,000","1,230,000","2,000,000","1,040,000",,-2.0%,-10.9%,-1.6%,-0.5%,0.0%,,-1.4%,-1.7%,1.7%,-2.4%,-2.8%
2018.05,"4,820,000","590,000","1,210,000","2,000,000","1,020,000",,-2.6%,-9.2%,-0.8%,-1.0%,-3.8%,,-0.4%,3.5%,-1.6%,0.0%,-1.9%
2018.06,"4,830,000","620,000","1,220,000","1,980,000","1,010,000",,-0.8%,0.0%,-0.8%,1.0%,-4.7%,,0.2%,5.1%,0.8%,-1.0%,-1.0%
2018.07,"4,780,000","590,000","1,200,000","1,970,000","1,020,000",,-1.4%,0.0%,-0.8%,-1.0%,-3.8%,,-1.0%,-4.8%,-1.6%,-0.5%,1.0%
2018.08,"4,710,000","580,000","1,190,000","1,950,000","990,000",,-1.3%,-3.3%,-0.8%,1.6%,-5.7%,,-1.5%,-1.7%,-0.8%,-1.0%,-2.9%
2018.09,"4,620,000","570,000","1,180,000","1,920,000","950,000",,-4.5%,-6.6%,-2.5%,-1.0%,-12.0%,,-1.9%,-1.7%,-0.8%,-1.5%,-4.0%
2018.10,"4,570,000","560,000","1,160,000","1,900,000","950,000",,-5.6%,-8.2%,-4.9%,-1.6%,-12.0%,,-1.1%,-1.8%,-1.7%,-1.0%,0.0%
2018.11,"4,600,000","580,000","1,170,000","1,920,000","930,000",,-7.6%,-4.9%,-6.4%,-5.9%,-13.9%,,0.7%,3.6%,0.9%,1.1%,-2.1%
2018.12,"4,470,000","560,000","1,110,000","1,880,000","920,000",,-9.7%,-6.7%,-9.8%,-7.8%,-14.8%,,-2.8%,-3.4%,-5.1%,-2.1%,-1.1%
2019.01,"4,390,000","550,000","1,110,000","1,850,000","880,000",,-8.5%,-5.2%,-7.5%,-8.4%,-12.0%,,-1.8%,-1.8%,0.0%,-1.6%,-4.3%
2019.02,"4,770,000","560,000","1,120,000","2,080,000","1,010,000",,-2.3%,1.8%,0.0%,-1.4%,-8.2%,,8.7%,1.8%,0.9%,12.4%,14.8%
2019.03,"4,690,000","570,000","1,130,000","2,020,000","970,000",,-4.5%,-1.7%,-6.6%,-1.5%,-9.3%,,-1.7%,1.8%,0.9%,-2.9%,-4.0%
2019.04,"4,680,000","570,000","1,160,000","1,980,000","970,000",,-3.3%,0.0%,-5.7%,-1.0%,-6.7%,,-0.2%,0.0%,2.7%,-2.0%,0.0%
2019.05,"4,820,000","600,000","1,200,000","2,030,000","990,000",,0.0%,1.7%,-0.8%,1.5%,-2.9%,,3.0%,5.3%,3.4%,2.5%,2.1%
2019.06,"4,770,000","600,000","1,210,000","1,990,000","970,000",,-1.2%,-3.2%,-0.8%,0.5%,-4.0%,,-1.0%,0.0%,0.8%,-2.0%,-2.0%
2019.07,"4,820,000","590,000","1,200,000","2,020,000","1,010,000",,0.8%,0.0%,0.0%,2.5%,-1.0%,,1.0%,-1.7%,-0.8%,1.5%,4.1%
2019.08,"4,830,000","590,000","1,210,000","2,020,000","1,010,000",,2.5%,1.7%,1.7%,3.6%,2.0%,,0.2%,0.0%,0.8%,0.0%,0.0%
2019.09,"4,780,000","580,000","1,170,000","2,020,000","1,010,000",,3.5%,1.8%,-0.8%,5.2%,6.3%,,-1.0%,-1.7%,-3.3%,0.0%,0.0%
2019.10,"4,780,000","560,000","1,190,000","2,040,000","990,000",,4.6%,0.0%,2.6%,7.4%,4.2%,,0.0%,-3.4%,1.7%,1.0%,-2.0%
2019.11,"4,750,000","570,000","1,190,000","2,010,000","980,000",,3.3%,-1.7%,1.7%,4.7%,5.4%,,-0.6%,1.8%,0.0%,-1.5%,-1.0%
2019.12,"4,910,000","590,000","1,200,000","2,090,000","1,030,000",,9.8%,5.4%,8.1%,11.2%,12.0%,,3.4%,3.5%,0.8%,4.0%,5.1%
2020.01,"4,820,000","590,000","1,200,000","2,080,000","950,000",,9.8%,7.3%,8.1%,12.4%,8.0%,,-1.8%,0.0%,0.0%,-0.5%,-7.8%
2020.02,"5,110,000","570,000","1,190,000","2,260,000","1,090,000",,7.1%,1.8%,6.3%,8.7%,7.9%,,6.0%,-3.4%,-0.8%,8.7%,14.7%
2020.03,"4,800,000","550,000","1,190,000","2,080,000","980,000",,2.3%,-3.5%,5.3%,3.0%,1.0%,,-6.1%,-3.5%,0.0%,-8.0%,-10.1%
2020.04,"3,980,000","490,000","1,080,000","1,690,000","720,000",,-15.0%,-14.0%,-6.9%,-14.6%,-25.8%,,-17.1%,-10.9%,-9.2%,-18.8%,-26.5%
2020.05,"3,650,000","430,000","980,000","1,590,000","650,000",,-24.3%,-28.3%,-18.3%,-21.7%,-34.3%,,-8.3%,-12.2%,-9.3%,-5.9%,-9.7%
2020.06,"4,310,000","440,000","1,070,000","1,940,000","860,000",,-9.6%,-26.7%,-11.6%,-2.5%,-11.3%,,18.1%,2.3%,9.2%,22.0%,32.3%
2020.07,"5,320,000","580,000","1,330,000","2,310,000","1,100,000",,10.4%,-1.7%,10.8%,14.4%,8.9%,,23.4%,31.8%,24.3%,19.1%,27.9%
2020.08,"5,340,000","640,000","1,320,000","2,270,000","1,110,000",,10.6%,8.5%,9.1%,12.4%,9.9%,,0.4%,10.3%,-0.8%,-1.7%,0.9%
2020.09,"5,770,000","720,000","1,400,000","2,450,000","1,200,000",,20.7%,24.1%,19.7%,21.3%,18.8%,,8.1%,12.5%,6.1%,7.9%,8.1%
2020.10,"6,010,000","740,000","1,510,000","2,540,000","1,220,000",,25.7%,32.1%,26.9%,24.5%,23.2%,,4.2%,2.8%,7.9%,3.7%,1.7%
2020.11,"5,880,000","730,000","1,440,000","2,480,000","1,230,000",,23.8%,28.1%,21.0%,23.4%,25.5%,,-2.2%,-1.4%,-4.6%,-2.4%,0.8%
2020.12,"5,920,000","750,000","1,450,000","2,500,000","1,220,000",,20.6%,27.1%,20.8%,19.6%,18.4%,,0.7%,2.7%,0.7%,0.8%,-0.8%
